TIMESLICE,YEAR,VALUE
1,2023,0.000019 
2,2023,0.000019 
3,2023,0.000019 
4,2023,0.000019 
5,2023,0.000019 
6,2023,0.000019 
7,2023,0.000019 
8,2023,0.000019 
9,2023,0.000019 
10,2023,0.000019 
11,2023,0.000019 
12,2023,0.000019 
13,2023,0.000019 
14,2023,0.000019 
15,2023,0.000019 
16,2023,0.000019 
17,2023,0.000019 
18,2023,0.000019 
19,2023,0.000019 
20,2023,0.000019 
21,2023,0.000019 
22,2023,0.000019 
23,2023,0.000019 
24,2023,0.000019 
25,2023,0.000019 
26,2023,0.000019 
27,2023,0.000019 
28,2023,0.000019 
29,2023,0.000019 
30,2023,0.000019 
31,2023,0.000019 
32,2023,0.000019 
33,2023,0.000019 
34,2023,0.000019 
35,2023,0.000019 
36,2023,0.000019 
37,2023,0.000019 
38,2023,0.000019 
39,2023,0.000019 
40,2023,0.000019 
41,2023,0.000019 
42,2023,0.000019 
43,2023,0.000019 
44,2023,0.000019 
45,2023,0.000019 
46,2023,0.000019 
47,2023,0.000019 
48,2023,0.000019 
49,2023,0.000019 
50,2023,0.000019 
51,2023,0.000019 
52,2023,0.000019 
53,2023,0.000019 
54,2023,0.000019 
55,2023,0.000019 
56,2023,0.000019 
57,2023,0.000019 
58,2023,0.000019 
59,2023,0.000019 
60,2023,0.000019 
61,2023,0.000019 
62,2023,0.000019 
63,2023,0.000019 
64,2023,0.000019 
65,2023,0.000019 
66,2023,0.000019 
67,2023,0.000019 
68,2023,0.000019 
69,2023,0.000019 
70,2023,0.000019 
71,2023,0.000019 
72,2023,0.000019 
73,2023,0.000019 
74,2023,0.000019 
75,2023,0.000019 
76,2023,0.000019 
77,2023,0.000019 
78,2023,0.000019 
79,2023,0.000019 
80,2023,0.000019 
81,2023,0.000019 
82,2023,0.000019 
83,2023,0.000019 
84,2023,0.000019 
85,2023,0.000019 
86,2023,0.000019 
87,2023,0.000019 
88,2023,0.000019 
89,2023,0.000019 
90,2023,0.000019 
91,2023,0.000019 
92,2023,0.000019 
93,2023,0.000019 
94,2023,0.000019 
95,2023,0.000019 
96,2023,0.000019 
97,2023,0.000019 
98,2023,0.000019 
99,2023,0.000019 
100,2023,0.000019 
101,2023,0.000019 
102,2023,0.000019 
103,2023,0.000019 
104,2023,0.000019 
105,2023,0.000019 
106,2023,0.000019 
107,2023,0.000019 
108,2023,0.000019 
109,2023,0.000019 
110,2023,0.000019 
111,2023,0.000019 
112,2023,0.000019 
113,2023,0.000019 
114,2023,0.000019 
115,2023,0.000019 
116,2023,0.000019 
117,2023,0.000019 
118,2023,0.000019 
119,2023,0.000019 
120,2023,0.000019 
121,2023,0.000019 
122,2023,0.000019 
123,2023,0.000019 
124,2023,0.000019 
125,2023,0.000019 
126,2023,0.000019 
127,2023,0.000019 
128,2023,0.000019 
129,2023,0.000019 
130,2023,0.000019 
131,2023,0.000019 
132,2023,0.000019 
133,2023,0.000019 
134,2023,0.000019 
135,2023,0.000019 
136,2023,0.000019 
137,2023,0.000019 
138,2023,0.000019 
139,2023,0.000019 
140,2023,0.000019 
141,2023,0.000019 
142,2023,0.000019 
143,2023,0.000019 
144,2023,0.000019 
145,2023,0.000019 
146,2023,0.000019 
147,2023,0.000019 
148,2023,0.000019 
149,2023,0.000019 
150,2023,0.000019 
151,2023,0.000019 
152,2023,0.000019 
153,2023,0.000019 
154,2023,0.000019 
155,2023,0.000019 
156,2023,0.000019 
157,2023,0.000019 
158,2023,0.000019 
159,2023,0.000019 
160,2023,0.000019 
161,2023,0.000019 
162,2023,0.000019 
163,2023,0.000019 
164,2023,0.000019 
165,2023,0.000019 
166,2023,0.000019 
167,2023,0.000019 
168,2023,0.000019 
169,2023,0.000019 
170,2023,0.000019 
171,2023,0.000019 
172,2023,0.000019 
173,2023,0.000019 
174,2023,0.000019 
175,2023,0.000019 
176,2023,0.000019 
177,2023,0.000019 
178,2023,0.000019 
179,2023,0.000019 
180,2023,0.000019 
181,2023,0.000019 
182,2023,0.000019 
183,2023,0.000019 
184,2023,0.000019 
185,2023,0.000019 
186,2023,0.000019 
187,2023,0.000019 
188,2023,0.000019 
189,2023,0.000019 
190,2023,0.000019 
191,2023,0.000019 
192,2023,0.000019 
193,2023,0.000019 
194,2023,0.000019 
195,2023,0.000019 
196,2023,0.000019 
197,2023,0.000019 
198,2023,0.000019 
199,2023,0.000019 
200,2023,0.000019 
201,2023,0.000019 
202,2023,0.000019 
203,2023,0.000019 
204,2023,0.000019 
205,2023,0.000019 
206,2023,0.000019 
207,2023,0.000019 
208,2023,0.000019 
209,2023,0.000019 
210,2023,0.000019 
211,2023,0.000019 
212,2023,0.000019 
213,2023,0.000019 
214,2023,0.000019 
215,2023,0.000019 
216,2023,0.000019 
217,2023,0.000019 
218,2023,0.000019 
219,2023,0.000019 
220,2023,0.000019 
221,2023,0.000019 
222,2023,0.000019 
223,2023,0.000019 
224,2023,0.000019 
225,2023,0.000019 
226,2023,0.000019 
227,2023,0.000019 
228,2023,0.000019 
229,2023,0.000019 
230,2023,0.000019 
231,2023,0.000019 
232,2023,0.000019 
233,2023,0.000019 
234,2023,0.000019 
235,2023,0.000019 
236,2023,0.000019 
237,2023,0.000019 
238,2023,0.000019 
239,2023,0.000019 
240,2023,0.000019 
241,2023,0.000019 
242,2023,0.000019 
243,2023,0.000019 
244,2023,0.000019 
245,2023,0.000019 
246,2023,0.000019 
247,2023,0.000019 
248,2023,0.000019 
249,2023,0.000019 
250,2023,0.000019 
251,2023,0.000019 
252,2023,0.000019 
253,2023,0.000019 
254,2023,0.000019 
255,2023,0.000019 
256,2023,0.000019 
257,2023,0.000019 
258,2023,0.000019 
259,2023,0.000019 
260,2023,0.000019 
261,2023,0.000019 
262,2023,0.000019 
263,2023,0.000019 
264,2023,0.000019 
265,2023,0.000019 
266,2023,0.000019 
267,2023,0.000019 
268,2023,0.000019 
269,2023,0.000019 
270,2023,0.000019 
271,2023,0.000019 
272,2023,0.000019 
273,2023,0.000019 
274,2023,0.000019 
275,2023,0.000019 
