REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REG1,GRID,1,2023,1
REG1,GRID,2,2023,1
REG1,GRID,3,2023,1
REG1,GRID,4,2023,1
REG1,GRID,5,2023,1
REG1,GRID,6,2023,1
REG1,GRID,7,2023,1
REG1,GRID,8,2023,1
REG1,GRID,9,2023,1
REG1,GRID,10,2023,1
REG1,GRID,11,2023,1
REG1,GRID,12,2023,1
REG1,GRID,13,2023,1
REG1,GRID,14,2023,1
REG1,GRID,15,2023,1
REG1,GRID,16,2023,1
REG1,GRID,17,2023,1
REG1,GRID,18,2023,1
REG1,GRID,19,2023,1
REG1,GRID,20,2023,1
REG1,GRID,21,2023,1
REG1,GRID,22,2023,1
REG1,GRID,23,2023,1
REG1,GRID,24,2023,1
REG1,GRID,25,2023,1
REG1,GRID,26,2023,1
REG1,GRID,27,2023,1
REG1,GRID,28,2023,1
REG1,GRID,29,2023,1
REG1,GRID,30,2023,1
REG1,GRID,31,2023,1
REG1,GRID,32,2023,1
REG1,GRID,33,2023,1
REG1,GRID,34,2023,1
REG1,GRID,35,2023,1
REG1,GRID,36,2023,1
REG1,GRID,37,2023,1
REG1,GRID,38,2023,1
REG1,GRID,39,2023,1
REG1,GRID,40,2023,1
REG1,GRID,41,2023,1
REG1,GRID,42,2023,1
REG1,GRID,43,2023,1
REG1,GRID,44,2023,1
REG1,GRID,45,2023,1
REG1,GRID,46,2023,1
REG1,GRID,47,2023,1
REG1,GRID,48,2023,1
REG1,GRID,49,2023,1
REG1,GRID,50,2023,1
REG1,GRID,51,2023,1
REG1,GRID,52,2023,1
REG1,GRID,53,2023,1
REG1,GRID,54,2023,1
REG1,GRID,55,2023,1
REG1,GRID,56,2023,1
REG1,GRID,57,2023,1
REG1,GRID,58,2023,1
REG1,GRID,59,2023,1
REG1,GRID,60,2023,1
REG1,GRID,61,2023,1
REG1,GRID,62,2023,1
REG1,GRID,63,2023,1
REG1,GRID,64,2023,1
REG1,GRID,65,2023,1
REG1,GRID,66,2023,1
REG1,GRID,67,2023,1
REG1,GRID,68,2023,1
REG1,GRID,69,2023,1
REG1,GRID,70,2023,1
REG1,GRID,71,2023,1
REG1,GRID,72,2023,1
REG1,GRID,73,2023,1
REG1,GRID,74,2023,1
REG1,GRID,75,2023,1
REG1,GRID,76,2023,1
REG1,GRID,77,2023,1
REG1,GRID,78,2023,1
REG1,GRID,79,2023,1
REG1,GRID,80,2023,1
REG1,GRID,81,2023,1
REG1,GRID,82,2023,1
REG1,GRID,83,2023,1
REG1,GRID,84,2023,1
REG1,GRID,85,2023,1
REG1,GRID,86,2023,1
REG1,GRID,87,2023,1
REG1,GRID,88,2023,1
REG1,GRID,89,2023,1
REG1,GRID,90,2023,1
REG1,GRID,91,2023,1
REG1,GRID,92,2023,1
REG1,GRID,93,2023,1
REG1,GRID,94,2023,1
REG1,GRID,95,2023,1
REG1,GRID,96,2023,1
REG1,GRID,97,2023,1
REG1,GRID,98,2023,1
REG1,GRID,99,2023,1
REG1,GRID,100,2023,1
REG1,GRID,101,2023,1
REG1,GRID,102,2023,1
REG1,GRID,103,2023,1
REG1,GRID,104,2023,1
REG1,GRID,105,2023,1
REG1,GRID,106,2023,1
REG1,GRID,107,2023,1
REG1,GRID,108,2023,1
REG1,GRID,109,2023,1
REG1,GRID,110,2023,1
REG1,GRID,111,2023,1
REG1,GRID,112,2023,1
REG1,GRID,113,2023,1
REG1,GRID,114,2023,1
REG1,GRID,115,2023,1
REG1,GRID,116,2023,1
REG1,GRID,117,2023,1
REG1,GRID,118,2023,1
REG1,GRID,119,2023,1
REG1,GRID,120,2023,1
REG1,GRID,121,2023,1
REG1,GRID,122,2023,1
REG1,GRID,123,2023,1
REG1,GRID,124,2023,1
REG1,GRID,125,2023,1
REG1,GRID,126,2023,1
REG1,GRID,127,2023,1
REG1,GRID,128,2023,1
REG1,GRID,129,2023,1
REG1,GRID,130,2023,1
REG1,GRID,131,2023,1
REG1,GRID,132,2023,1
REG1,GRID,133,2023,1
REG1,GRID,134,2023,1
REG1,GRID,135,2023,1
REG1,GRID,136,2023,1
REG1,GRID,137,2023,1
REG1,GRID,138,2023,1
REG1,GRID,139,2023,1
REG1,GRID,140,2023,1
REG1,GRID,141,2023,1
REG1,GRID,142,2023,1
REG1,GRID,143,2023,1
REG1,GRID,144,2023,1
REG1,GRID,145,2023,1
REG1,GRID,146,2023,1
REG1,GRID,147,2023,1
REG1,GRID,148,2023,1
REG1,GRID,149,2023,1
REG1,GRID,150,2023,1
REG1,GRID,151,2023,1
REG1,GRID,152,2023,1
REG1,GRID,153,2023,1
REG1,GRID,154,2023,1
REG1,GRID,155,2023,1
REG1,GRID,156,2023,1
REG1,GRID,157,2023,1
REG1,GRID,158,2023,1
REG1,GRID,159,2023,1
REG1,GRID,160,2023,1
REG1,GRID,161,2023,1
REG1,GRID,162,2023,1
REG1,GRID,163,2023,1
REG1,GRID,164,2023,1
REG1,GRID,165,2023,1
REG1,GRID,166,2023,1
REG1,GRID,167,2023,1
REG1,GRID,168,2023,1
REG1,GRID,169,2023,1
REG1,GRID,170,2023,1
REG1,GRID,171,2023,1
REG1,GRID,172,2023,1
REG1,GRID,173,2023,1
REG1,GRID,174,2023,1
REG1,GRID,175,2023,1
REG1,GRID,176,2023,1
REG1,GRID,177,2023,1
REG1,GRID,178,2023,1
REG1,GRID,179,2023,1
REG1,GRID,180,2023,1
REG1,GRID,181,2023,1
REG1,GRID,182,2023,1
REG1,GRID,183,2023,1
REG1,GRID,184,2023,1
REG1,GRID,185,2023,1
REG1,GRID,186,2023,1
REG1,GRID,187,2023,1
REG1,GRID,188,2023,1
REG1,GRID,189,2023,1
REG1,GRID,190,2023,1
REG1,GRID,191,2023,1
REG1,GRID,192,2023,1
REG1,GRID,193,2023,1
REG1,GRID,194,2023,1
REG1,GRID,195,2023,1
REG1,GRID,196,2023,1
REG1,GRID,197,2023,1
REG1,GRID,198,2023,1
REG1,GRID,199,2023,1
REG1,GRID,200,2023,1
REG1,GRID,201,2023,1
REG1,GRID,202,2023,1
REG1,GRID,203,2023,1
REG1,GRID,204,2023,1
REG1,GRID,205,2023,1
REG1,GRID,206,2023,1
REG1,GRID,207,2023,1
REG1,GRID,208,2023,1
REG1,GRID,209,2023,1
REG1,GRID,210,2023,1
REG1,GRID,211,2023,1
REG1,GRID,212,2023,1
REG1,GRID,213,2023,1
REG1,GRID,214,2023,1
REG1,GRID,215,2023,1
REG1,GRID,216,2023,1
REG1,GRID,217,2023,1
REG1,GRID,218,2023,1
