
Time Dependent Production (Energy Units) Test

,REG1
Fuel,Timeslice,2023
EL01,1,11.8622
EL01,2,11.8622
EL01,3,11.8622
EL01,4,11.8622
EL01,5,11.8622
EL01,6,11.8622
EL01,7,11.8622
EL01,8,11.8622
EL01,9,11.8622
EL01,10,11.8622
EL01,11,11.8622
EL01,12,11.8622
EL01,13,11.8622
EL01,14,11.8622
EL01,15,11.8622
EL01,16,11.8622
EL01,17,11.8622
EL01,18,11.8622
EL01,19,11.8622
EL01,20,11.8622
EL01,21,11.8622
EL01,22,11.8622
EL01,23,11.8622
EL01,24,11.8622
EL01,25,11.8622
EL01,26,11.8622
EL01,27,11.8622
EL01,28,11.8622
EL01,29,11.8622
EL01,30,11.8622
EL01,31,11.8622
EL01,32,11.8622
EL01,33,11.8622
EL01,34,11.8622
EL01,35,11.8622
EL01,36,11.8622
EL01,37,11.8622
EL01,38,11.8622
EL01,39,11.8622
EL01,40,11.8622
EL01,41,11.8622
EL01,42,11.8622
EL01,43,11.8622
EL01,44,11.8622
EL01,45,11.8622
EL01,46,11.8622
EL01,47,11.8622
EL01,48,11.8622
EL01,49,11.8622
EL01,50,11.8622
EL01,51,11.8622
EL01,52,11.8622
EL01,53,11.8622
EL01,54,11.8622
EL01,55,11.8622
EL01,56,11.8622
EL01,57,11.8622
EL01,58,11.8622
EL01,59,11.8622
EL01,60,11.8622
EL01,61,11.8622
EL01,62,11.8622
EL01,63,11.8622
EL01,64,11.8622
EL01,65,11.8622
EL01,66,11.8622
EL01,67,11.8622
EL01,68,11.8622
EL01,69,11.8622
EL01,70,11.8622
EL01,71,11.8622
EL01,72,11.8622
EL01,73,11.8622
EL01,74,11.8622
EL01,75,11.8622
EL01,76,11.8622
EL01,77,11.8622
EL01,78,11.8622
EL01,79,11.8622
EL01,80,11.8622
EL01,81,11.8622
EL01,82,11.8622
EL01,83,11.8622
EL01,84,11.8622
EL01,85,11.8622
EL01,86,11.8622
EL01,87,11.8622
EL01,88,11.8622
EL01,89,11.8622
EL01,90,11.8622
EL01,91,11.8622
EL01,92,11.8622
EL01,93,11.8622
EL01,94,11.8622
EL01,95,11.8622
EL01,96,11.8622
EL01,97,11.8622
EL01,98,11.8622
EL01,99,11.8622
EL01,100,11.8622
EL01,101,11.8622
EL01,102,11.8622
EL01,103,11.8622
EL01,104,11.8622
EL01,105,11.8622
EL01,106,11.8622
EL01,107,11.8622
EL01,108,11.8622
EL01,109,11.8622
EL01,110,11.8622
EL01,111,11.8622
EL01,112,11.8622
EL01,113,11.8622
EL01,114,11.8622
EL01,115,11.8622
EL01,116,11.8622
EL01,117,11.8622
EL01,118,11.8622
EL01,119,11.8622
EL01,120,11.8622
EL01,121,11.8622
EL01,122,11.8622
EL01,123,11.8622
EL01,124,11.8622
EL01,125,11.8622
