Use By Technology (Energy Units)

,REG1
Technology,Fuel,Timeslice,2023
GRID,EL01,1,0
GRID,EL01,2,0
GRID,EL01,3,0
GRID,EL01,4,0
GRID,EL01,5,0
GRID,EL01,6,0
GRID,EL01,7,0
GRID,EL01,8,0
GRID,EL01,9,0
GRID,EL01,10,0
GRID,EL01,11,0
GRID,EL01,12,0
GRID,EL01,13,0
GRID,EL01,14,0
GRID,EL01,15,0
GRID,EL01,16,0
GRID,EL01,17,0
GRID,EL01,18,0
GRID,EL01,19,0
GRID,EL01,20,0
GRID,EL01,21,0
GRID,EL01,22,0
GRID,EL01,23,0
GRID,EL01,24,0
GRID,EL01,25,0
GRID,EL01,26,0
GRID,EL01,27,0
GRID,EL01,28,0
GRID,EL01,29,0
GRID,EL01,30,0
GRID,EL01,31,0
GRID,EL01,32,0
GRID,EL01,33,0
GRID,EL01,34,0
GRID,EL01,35,0
GRID,EL01,36,0
GRID,EL01,37,0
GRID,EL01,38,0
GRID,EL01,39,0
GRID,EL01,40,0
GRID,EL01,41,0
GRID,EL01,42,0
GRID,EL01,43,0
GRID,EL01,44,0
GRID,EL01,45,0
GRID,EL01,46,0
GRID,EL01,47,0
GRID,EL01,48,0
GRID,EL01,49,0
GRID,EL01,50,0
GRID,EL01,51,0
GRID,EL01,52,0
GRID,EL01,53,0
GRID,EL01,54,0
GRID,EL01,55,0
GRID,EL01,56,0
GRID,EL01,57,0
GRID,EL01,58,0
GRID,EL01,59,0
GRID,EL01,60,0
GRID,EL01,61,0
GRID,EL01,62,0
GRID,EL01,63,0
GRID,EL01,64,0
GRID,EL01,65,0
GRID,EL01,66,0
GRID,EL01,67,0
GRID,EL01,68,0
GRID,EL01,69,0
GRID,EL01,70,0
GRID,EL01,71,0
GRID,EL01,72,0
GRID,EL01,73,0
GRID,EL01,74,0
GRID,EL01,75,0
GRID,EL01,76,0
GRID,EL01,77,0
GRID,EL01,78,0
GRID,EL01,79,0
GRID,EL01,80,0
GRID,EL01,81,0
GRID,EL01,82,0
GRID,EL01,83,0
GRID,EL01,84,0
GRID,EL01,85,0
GRID,EL01,86,0
GRID,EL01,87,0
GRID,EL01,88,0
GRID,EL01,89,0
GRID,EL01,90,0
GRID,EL01,91,0
GRID,EL01,92,0
GRID,EL01,93,0
GRID,EL01,94,0
GRID,EL01,95,0
GRID,EL01,96,0
GRID,EL01,97,0
GRID,EL01,98,0
GRID,EL01,99,0
GRID,EL01,100,0
GRID,EL01,101,0
GRID,EL01,102,0
GRID,EL01,103,0
GRID,EL01,104,0
GRID,EL01,105,0
GRID,EL01,106,0
GRID,EL01,107,0
GRID,EL01,108,0
GRID,EL01,109,0
GRID,EL01,110,0
GRID,EL01,111,0
GRID,EL01,112,0
GRID,EL01,113,0
GRID,EL01,114,0
GRID,EL01,115,0
GRID,EL01,116,0
GRID,EL01,117,0
GRID,EL01,118,0
GRID,EL01,119,0
GRID,EL01,120,0
GRID,EL01,121,0
GRID,EL01,122,0
GRID,EL01,123,0
GRID,EL01,124,0
GRID,EL01,125,0
GRID,EL01,126,0
GRID,EL01,127,0
GRID,EL01,128,0
GRID,EL01,129,0
GRID,EL01,130,0
GRID,EL01,131,0
GRID,EL01,132,0
GRID,EL01,133,0
GRID,EL01,134,0
GRID,EL01,135,0
GRID,EL01,136,0
GRID,EL01,137,0
GRID,EL01,138,0
GRID,EL01,139,0
GRID,EL01,140,0
GRID,EL01,141,0
GRID,EL01,142,0
GRID,EL01,143,0
GRID,EL01,144,0
GRID,EL01,145,0
GRID,EL01,146,0
GRID,EL01,147,0
GRID,EL01,148,0
GRID,EL01,149,0
GRID,EL01,150,0
GRID,EL01,151,0
GRID,EL01,152,0
GRID,EL01,153,0
GRID,EL01,154,0
GRID,EL01,155,0
GRID,EL01,156,0
GRID,EL01,157,0
GRID,EL01,158,0
GRID,EL01,159,0
GRID,EL01,160,0
GRID,EL01,161,0
GRID,EL01,162,0
GRID,EL01,163,0
GRID,EL01,164,0
GRID,EL01,165,0
GRID,EL01,166,0
GRID,EL01,167,0
GRID,EL01,168,0
GRID,EL01,169,0
GRID,EL01,170,0
GRID,EL01,171,0
GRID,EL01,172,0
GRID,EL01,173,0
GRID,EL01,174,0
GRID,EL01,175,0
GRID,EL01,176,0
GRID,EL01,177,0
GRID,EL01,178,0
GRID,EL01,179,0
GRID,EL01,180,0
GRID,EL01,181,0
GRID,EL01,182,0
GRID,EL01,183,0
GRID,EL01,184,0
GRID,EL01,185,0
GRID,EL01,186,0
GRID,EL01,187,0
GRID,EL01,188,0
GRID,EL01,189,0
GRID,EL01,190,0
GRID,EL01,191,0
GRID,EL01,192,0
GRID,EL01,193,0
GRID,EL01,194,0
GRID,EL01,195,0
GRID,EL01,196,0
GRID,EL01,197,0
GRID,EL01,198,0
GRID,EL01,199,0
GRID,EL01,200,0
GRID,EL01,201,0
GRID,EL01,202,0
GRID,EL01,203,0
GRID,EL01,204,0
GRID,EL01,205,0
GRID,EL01,206,0
GRID,EL01,207,0
GRID,EL01,208,0
GRID,EL01,209,0
GRID,EL01,210,0
GRID,EL01,211,0
GRID,EL01,212,0
GRID,EL01,213,0
GRID,EL01,214,0
GRID,EL01,215,0
GRID,EL01,216,0
GRID,EL01,217,0
GRID,EL01,218,0
GRID,EL01,219,0
GRID,EL01,220,0
GRID,EL01,221,0
GRID,EL01,222,0
GRID,EL01,223,0
GRID,EL01,224,0
GRID,EL01,225,0
GRID,EL01,226,0
GRID,EL01,227,0
GRID,EL01,228,0
GRID,EL01,229,0
GRID,EL01,230,0
GRID,EL01,231,0
GRID,EL01,232,0
GRID,EL01,233,0
GRID,EL01,234,0
GRID,EL01,235,0
GRID,EL01,236,0
GRID,EL01,237,0
GRID,EL01,238,0
GRID,EL01,239,0
GRID,EL01,240,0
GRID,EL01,241,0
GRID,EL01,242,0
GRID,EL01,243,0
GRID,EL01,244,0
GRID,EL01,245,0
GRID,EL01,246,0
GRID,EL01,247,0
GRID,EL01,248,0
GRID,EL01,249,0
GRID,EL01,250,0
GRID,EL01,251,0
GRID,EL01,252,0
